left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y,Lapdist
1.6790901,-1.1029082,4.0035699,-0.8162612,2.8413300,-0.9595847,5.9101917
1.6899420,-1.1073192,4.0294141,-0.8564296,2.8596780,-0.9818744,5.9390618
1.6971248,-1.1034092,4.0544825,-0.8970785,2.8758037,-1.0002439,5.9635051
1.7057184,-1.1163711,4.0809530,-0.9368351,2.8933357,-1.0266031,5.9951623
1.7130317,-1.1301094,4.1077617,-0.9763650,2.9103967,-1.0532372,6.0267923
1.7193882,-1.1443158,4.1346770,-1.0158226,2.9270326,-1.0800692,6.0583629
1.7248861,-1.1588729,4.1614815,-1.0553552,2.9431838,-1.1071140,6.0898635
1.7295245,-1.1737231,4.1879797,-1.0950933,2.9587521,-1.1344082,6.1212855
1.7332346,-1.1888332,4.2140174,-1.1351344,2.9736260,-1.1619838,6.1526167
1.7358056,-1.2041889,4.2394703,-1.1755493,2.9876380,-1.1898691,6.1838245
1.7366317,-1.2197328,4.2642056,-1.2164070,3.0004187,-1.2180699,6.2147863
1.7355401,-1.2352323,4.2880740,-1.2577770,3.0118071,-1.2465046,6.2454169
1.7319133,-1.2502999,4.3109035,-1.2997290,3.0214084,-1.2750145,6.2755000
1.7251858,-1.2642199,4.3324922,-1.3423326,3.0288390,-1.3032763,6.3047223
1.7144241,-1.2751720,4.3525997,-1.3856542,3.0335119,-1.3304131,6.3322585
1.7001253,-1.2738400,4.3709379,-1.4297523,3.0355316,-1.3517961,6.3537368
1.6897425,-1.2625085,4.3871608,-1.4746684,3.0384517,-1.3685885,6.3707811
1.6821055,-1.2489895,4.4008561,-1.5204132,3.0414808,-1.3847014,6.3871762
1.6757772,-1.2347679,4.4115401,-1.5669454,3.0436586,-1.4008567,6.4034777
1.6705916,-1.2200874,4.4186629,-1.6141435,3.0446272,-1.4171154,6.4197653
1.6658524,-1.2052629,4.4216305,-1.6617728,3.0437415,-1.4335178,6.4361915
1.6614792,-1.1903202,4.4198530,-1.7094539,3.0406661,-1.4498871,6.4528472
1.6576698,-1.1752246,4.4128313,-1.7566512,3.0352505,-1.4659379,6.4697870
1.6540636,-1.1600805,4.4004622,-1.8027556,3.0272629,-1.4814180,6.4872064
1.6507761,-1.1448620,4.3829036,-1.8471539,3.0168398,-1.4960079,6.5051370
1.6478872,-1.1295638,4.3614442,-1.8897982,3.0046657,-1.5096810,6.5234445
1.6453881,-1.1141988,4.3367477,-1.9306549,2.9910679,-1.5224269,6.5420820
1.6435999,-1.0987381,4.3093985,-1.9697903,2.9764992,-1.5342642,6.5608535
1.6442411,-1.0832749,4.2798898,-2.0073294,2.9620654,-1.5453021,6.5790240
1.6540445,-1.0911460,4.2486269,-2.0434254,2.9513357,-1.5672857,6.6034863
1.6603574,-1.1053635,4.2159391,-2.0782400,2.9381482,-1.5918018,6.6313242
1.6655766,-1.1200284,4.1820920,-2.1119320,2.9238343,-1.6159802,6.6594220
1.6701230,-1.1349168,4.1473015,-2.1446515,2.9087123,-1.6397842,6.6876232
1.6741031,-1.1499672,4.1117441,-2.1765380,2.8929236,-1.6632526,6.7159083
1.6775616,-1.1651459,4.0755663,-2.2077204,2.8765639,-1.6864332,6.7442804
1.6805085,-1.1804319,4.0388921,-2.2383187,2.8597003,-1.7093753,6.7727536
1.6829299,-1.1958091,4.0018292,-2.2684459,2.8423796,-1.7321275,6.8013486
1.6847906,-1.2112634,3.9644739,-2.2982101,2.8246323,-1.7547368,6.8300913
1.6860331,-1.2267788,3.9269111,-2.3277120,2.8064721,-1.7772454,6.8590125
1.6865719,-1.2423340,3.8891866,-2.3570069,2.7878793,-1.7996704,6.8881428
1.6862848,-1.2578955,3.8513045,-2.3860976,2.7687947,-1.8219966,6.9175141
1.6850054,-1.2734073,3.8132585,-2.4149736,2.7491319,-1.8441905,6.9471653
1.6825649,-1.2887801,3.7750423,-2.4436239,2.7288036,-1.8662020,6.9771277
1.6788975,-1.3039069,3.7366497,-2.4720372,2.7077736,-1.8879721,7.0073965
1.6739839,-1.3186751,3.6980744,-2.5002020,2.6860292,-1.9094385,7.0379519
1.6678400,-1.3329736,3.6593104,-2.5281064,2.6635752,-1.9305400,7.0687651
1.6605143,-1.3467029,3.6203516,-2.5557381,2.6404330,-1.9512205,7.0998013
1.6520832,-1.3597815,3.5811923,-2.5830849,2.6166378,-1.9714332,7.1310225
1.6426426,-1.3721508,3.5418267,-2.6101339,2.5922347,-1.9911423,7.1623906
1.6322992,-1.3837762,3.5022495,-2.6368721,2.5672744,-2.0103242,7.1938701
1.6211625,-1.3946450,3.4624553,-2.6632864,2.5418089,-2.0289657,7.2254296
1.6093383,-1.4047631,3.4224392,-2.6893632,2.5158888,-2.0470631,7.2570424
1.5969247,-1.4141501,3.3821966,-2.7150890,2.4895606,-2.0646195,7.2886872
1.5840095,-1.4228356,3.3417230,-2.7404497,2.4628662,-2.0816427,7.3203476
1.5706695,-1.4308550,3.3010144,-2.7654316,2.4358420,-2.0981433,7.3520112
1.5569709,-1.4382463,3.2600672,-2.7900203,2.4085191,-2.1141333,7.3836691
1.5429697,-1.4450483,3.2188782,-2.8142018,2.3809240,-2.1296250,7.4153153
1.5287131,-1.4512985,3.1774447,-2.8379616,2.3530789,-2.1446300,7.4469460
1.5142406,-1.4570325,3.1357642,-2.8612856,2.3250024,-2.1591590,7.4785589
1.4995855,-1.4622835,3.0938350,-2.8841593,2.2967102,-2.1732214,7.5101532
1.4847754,-1.4670815,3.0516558,-2.9065687,2.2682156,-2.1868251,7.5417286
1.4698336,-1.4714539,3.0092259,-2.9284995,2.2395297,-2.1999767,7.5732855
1.4547797,-1.4754249,2.9665450,-2.9499379,2.2106624,-2.2126814,7.6048249
1.4396302,-1.4790163,2.9236137,-2.9708701,2.1816220,-2.2249432,7.6363479
1.4243935,-1.4822179,2.8804330,-2.9912826,2.1524133,-2.2367503,7.6678528
1.4090881,-1.4850714,2.8370044,-3.0111624,2.1230463,-2.2481169,7.6993427
1.3937257,-1.4875984,2.7933303,-3.0304967,2.0935280,-2.2590475,7.7308198
1.3783151,-1.4898113,2.7494135,-3.0492731,2.0638643,-2.2695422,7.7622853
1.3628640,-1.4917204,2.7052576,-3.0674800,2.0340608,-2.2796002,7.7937402
1.3473792,-1.4933337,2.6608670,-3.0851070,2.0041231,-2.2892203,7.8251856
1.3318668,-1.4946567,2.6162494,-3.1021513,1.9740581,-2.2984040,7.8566219
1.3163326,-1.4956932,2.5714153,-3.1186175,1.9438739,-2.3071554,7.8880492
1.3007821,-1.4964475,2.5263754,-3.1345125,1.9135787,-2.3154800,7.9194673
1.2852205,-1.4969248,2.4811403,-3.1498432,1.8831804,-2.3233840,7.9508764
1.2696529,-1.4971313,2.4357201,-3.1646168,1.8526865,-2.3308741,7.9822767
1.2540839,-1.4970747,2.3901248,-3.1788405,1.8221043,-2.3379576,8.0136685
1.2385179,-1.4967631,2.3443637,-3.1925218,1.7914408,-2.3446425,8.0450523
1.2229586,-1.4962059,2.2984461,-3.2056683,1.7607024,-2.3509371,8.0764286
1.2074096,-1.4954132,2.2523808,-3.2182875,1.7298952,-2.3568503,8.1077981
1.1918735,-1.4943957,2.2061762,-3.2303872,1.6990249,-2.3623915,8.1391618
1.1763529,-1.4931651,2.1598407,-3.2419751,1.6680968,-2.3675701,8.1705204
1.1608495,-1.4917332,2.1133819,-3.2530590,1.6371157,-2.3723961,8.2018751
1.1453647,-1.4901127,2.0668076,-3.2636467,1.6060861,-2.3768797,8.2332270
1.1298992,-1.4883164,2.0201249,-3.2737459,1.5750120,-2.3810312,8.2645772
1.1144535,-1.4863577,1.9733407,-3.2833644,1.5438971,-2.3848610,8.2959269
1.0990274,-1.4842501,1.9264618,-3.2925099,1.5127446,-2.3883800,8.3272776
1.0836203,-1.4820074,1.8794945,-3.3011902,1.4815574,-2.3915988,8.3586304
1.0682313,-1.4796436,1.8324448,-3.3094127,1.4503381,-2.3945282,8.3899869
1.0528592,-1.4771726,1.7853187,-3.3171852,1.4190890,-2.3971789,8.4213482
