x,y,yaw
0.7981677,-2.7692923,-3.1150655
0.7624098,-2.7701788,-3.1186979
0.7266488,-2.7709300,-3.1226274
0.6908851,-2.7715354,-3.1268595
0.6551190,-2.7719840,-3.1313996
0.6193513,-2.7722646,-3.1362532
0.5835827,-2.7723659,-3.1414259
0.5478140,-2.7722765,3.1362621
0.5120464,-2.7719846,3.1304349
0.4762812,-2.7714783,3.1242723
0.4405200,-2.7707456,3.1177694
0.4047644,-2.7697742,3.1109209
0.3690166,-2.7685518,3.1037221
0.3332788,-2.7670657,3.0961685
0.2975536,-2.7653034,3.0882556
0.2618438,-2.7632520,3.0799797
0.2261527,-2.7608986,3.0713371
0.1904837,-2.7582303,3.0623248
0.1548408,-2.7552340,3.0529402
0.1192283,-2.7518967,3.0431813
0.0836507,-2.7482054,3.0330469
0.0481132,-2.7441470,3.0225363
0.0126212,-2.7397087,3.0116496
-0.0228195,-2.7348776,3.0003880
-0.0582025,-2.7296410,2.9887534
-0.0935211,-2.7239867,2.9767487
-0.1287681,-2.7179022,2.9643780
-0.1639359,-2.7113758,2.9516465
-0.1990165,-2.7043960,2.9385604
-0.2340014,-2.6969515,2.9251275
-0.2688817,-2.6890319,2.9113565
-0.3036482,-2.6806268,2.8972578
-0.3382913,-2.6717269,2.8828430
-0.3728011,-2.6623233,2.8681250
-0.4071671,-2.6524076,2.8531183
-0.4413791,-2.6419726,2.8378385
-0.4754261,-2.6310116,2.8223030
-0.5092972,-2.6195188,2.8065301
-0.5429815,-2.6074893,2.7905395
-0.5764678,-2.5949194,2.7743524
-0.6097451,-2.5818060,2.7579907
-0.6428021,-2.5681472,2.7414776
-0.6756282,-2.5539421,2.7248370
-0.7082124,-2.5391909,2.7080938
-0.7405444,-2.5238948,2.6912734
-0.7726140,-2.5080560,2.6744017
-0.8044115,-2.4916778,2.6575049
-0.8359276,-2.4747646,2.6406092
-0.8671536,-2.4573215,2.6237515
-0.8980816,-2.4393555,2.6070311
-0.9287070,-2.4208782,2.5905958
-0.9590279,-2.4019054,2.5745252
-0.9890438,-2.3824533,2.5588115
-1.0187538,-2.3625370,2.5434247
-1.0481572,-2.3421705,2.5283358
-1.0772530,-2.3213667,2.5135176
-1.1060402,-2.3001375,2.4989440
-1.1345177,-2.2784943,2.4844910
-1.1626798,-2.2564417,2.4697325
-1.1905063,-2.2339674,2.4552314
-1.2180168,-2.2111076,2.4413691
-1.2452092,-2.1878709,2.4276380
-1.2720812,-2.1642646,2.4140172
-1.2986304,-2.1402960,2.4004864
-1.3248537,-2.1159715,2.3870257
-1.3507480,-2.0912969,2.3736156
-1.3763097,-2.0662778,2.3602369
-1.4015347,-2.0409192,2.3468707
-1.4264187,-2.0152256,2.3334982
-1.4509568,-1.9892012,2.3201005
-1.4751439,-1.9628497,2.3059793
-1.4989376,-1.9361424,2.2917769
-1.5223663,-1.9091148,2.2781710
-1.5454241,-1.8817706,2.2644816
-1.5681038,-1.8541121,2.2506718
-1.5903975,-1.8261418,2.2367215
-1.6122966,-1.7978616,2.2226102
-1.6337921,-1.7692734,2.2083168
-1.6548740,-1.7403788,2.1938195
-1.6755316,-1.7111794,2.1790957
-1.6957538,-1.6816764,2.1641220
-1.7155280,-1.6518713,2.1488741
-1.7348414,-1.6217651,2.1333268
-1.7536798,-1.5913591,2.1171695
-1.7720105,-1.5606443,2.1004630
-1.7898226,-1.5296260,2.0836860
-1.8071124,-1.4983139,2.0667237
-1.8238619,-1.4667097,2.0493256
-1.8400518,-1.4348155,2.0314601
