time,mode,obstacle_count,chosen_offset,speed_limit,min_obstacle_clearance,candidate_count,collision_free_count
1779543141.928282,pass_through,0,0.000,1.000,inf,1,1
1779543141.978134,pass_through,0,0.000,1.000,inf,1,1
1779543142.028202,pass_through,0,0.000,1.000,inf,1,1
1779543142.078125,pass_through,0,0.000,1.000,inf,1,1
1779543142.128459,pass_through,0,0.000,1.000,inf,1,1
1779543142.178219,pass_through,0,0.000,1.000,inf,1,1
1779543142.316383,pass_through,0,0.000,1.000,inf,1,1
1779543142.340590,pass_through,0,0.000,1.000,inf,1,1
1779543142.378154,pass_through,0,0.000,1.000,inf,1,1
1779543142.428138,pass_through,0,0.000,1.000,inf,1,1
1779543142.478172,pass_through,0,0.000,1.000,inf,1,1
1779543142.528470,pass_through,0,0.000,1.000,inf,1,1
1779543142.578175,pass_through,0,0.000,1.000,inf,1,1
1779543142.628180,pass_through,0,0.000,1.000,inf,1,1
1779543142.678089,pass_through,0,0.000,1.000,inf,1,1
1779543142.809884,pass_through,0,0.000,1.000,inf,1,1
1779543142.831132,pass_through,0,0.000,1.000,inf,1,1
1779543142.878160,pass_through,0,0.000,1.000,inf,1,1
1779543142.928515,pass_through,0,0.000,1.000,inf,1,1
1779543142.978273,pass_through,0,0.000,1.000,inf,1,1
1779543143.028476,pass_through,0,0.000,1.000,inf,1,1
1779543143.078110,pass_through,0,0.000,1.000,inf,1,1
1779543143.128410,pass_through,0,0.000,1.000,inf,1,1
1779543143.178251,pass_through,0,0.000,1.000,inf,1,1
1779543143.309264,pass_through,0,0.000,1.000,inf,1,1
1779543143.328119,pass_through,0,0.000,1.000,inf,1,1
1779543143.378149,pass_through,0,0.000,1.000,inf,1,1
1779543143.428198,pass_through,0,0.000,1.000,inf,1,1
1779543143.478121,pass_through,0,0.000,1.000,inf,1,1
1779543143.528156,pass_through,0,0.000,1.000,inf,1,1
1779543143.578230,pass_through,0,0.000,1.000,inf,1,1
1779543143.628123,pass_through,0,0.000,1.000,inf,1,1
